Datetime,BHR
2021-01-03,nan
2021-01-13,nan
2021-01-24,nan
2021-02-03,0.164429105242985
2021-02-13,0.164429105242985
2021-02-21,0.164429105242985
2021-02-22,0.164429105242985
2021-03-03,0.09214512215589094
2021-03-03,0.09214512215589094
2021-03-13,0.09214512215589094
2021-03-13,0.09214512215589094
2021-03-24,0.09112560798071116
2021-04-03,0.09112560798071116
2021-04-13,0.09112560798071116
2021-04-23,0.0926210387954613
2021-05-03,0.09712216357485944
2021-05-13,0.09712216357485944
2021-05-24,0.09783779503620023
2021-06-03,0.09855342649754102
2021-06-13,0.0948509721226956
2021-06-23,0.0948509721226956
2021-07-03,0.0948509721226956
2021-07-13,0.09153619486469675
2021-07-24,0.0929406362153222
2021-08-03,0.09475121017749485
2021-08-13,0.09454534219707918
2021-08-24,0.09448993886898609
2021-09-03,0.0935160022950008
2021-09-13,0.08989850635435326
2021-09-23,0.08674900606247529
2021-10-03,0.19722222860074753
2021-10-13,0.19722222860074753
2021-10-24,0.19722222860074753
2021-11-03,0.10250270820230573
2021-11-13,nan
2021-11-23,nan
2021-12-03,nan
2021-12-13,nan
2021-12-24,nan
