Datetime,DHR
2021-01-03,0.10738143237474519
2021-01-13,0.10738143237474519
2021-01-24,0.1073972198608318
2021-02-03,0.13950629532591788
2021-02-13,0.12608351227521208
2021-02-21,0.11907403537827556
2021-02-22,0.11907403537827556
2021-03-03,0.10598781126613667
2021-03-03,0.10261769594444334
2021-03-13,0.10082740753639569
2021-03-13,0.10093174442021327
2021-03-24,0.0996720769954601
2021-04-03,0.09837824190048458
2021-04-13,0.09737280174514475
2021-04-23,0.09579400719498239
2021-05-03,0.09552040173299928
2021-05-13,0.09518216649039835
2021-05-24,0.09522222318269566
2021-06-03,0.09468734423051756
2021-06-13,0.09417016044121272
2021-06-23,0.09347155061791193
2021-07-03,0.09165499590752203
2021-07-13,0.09215012321060934
2021-07-24,0.09366262412820035
2021-08-03,0.09379563425065789
2021-08-13,0.09473091506467199
2021-08-24,0.0924216893485533
2021-09-03,0.08998479445802877
2021-09-13,0.0895678462713153
2021-09-23,0.08933322139040256
2021-10-03,0.09294322228225008
2021-10-13,0.09726188111170822
2021-10-24,0.09883175598565949
2021-11-03,0.10206912166968773
2021-11-13,0.10454505195319413
2021-11-23,0.10270088791654572
2021-12-03,0.10622700083986196
2021-12-13,0.10557406217954687
2021-12-24,nan
